,user_id,connection_start_datetime,connection_end_datetime,active_hour_int,date_str,day_date,year_num,month_num,week_of_year_num,day_num,day_of_week,day_of_week_name
69,82557,2017-10-28 07:55,2017-10-28 08:21,8,20171028,2017-10-28,2017,10,43,28,6,Saturday
70,82741,2017-10-28 09:15,2017-10-28 09:24,9,20171028,2017-10-28,2017,10,43,28,6,Saturday
71,83105,2017-10-28 04:58,2017-10-28 05:00,4,20171028,2017-10-28,2017,10,43,28,6,Saturday
72,83105,2017-10-28 04:58,2017-10-28 05:00,5,20171028,2017-10-28,2017,10,43,28,6,Saturday
73,83620,2017-10-28 00:47,2017-10-28 01:14,0,20171028,2017-10-28,2017,10,43,28,6,Saturday
74,83620,2017-10-28 00:47,2017-10-28 01:14,1,20171028,2017-10-28,2017,10,43,28,6,Saturday
75,84083,2017-10-28 15:39,2017-10-28 15:51,15,20171028,2017-10-28,2017,10,43,28,6,Saturday
76,86884,2017-10-28 15:25,2017-10-28 15:34,15,20171028,2017-10-28,2017,10,43,28,6,Saturday
77,88347,2017-10-28 17:07,2017-10-28 17:22,17,20171028,2017-10-28,2017,10,43,28,6,Saturday
78,88882,2017-10-28 06:37,2017-10-28 07:03,6,20171028,2017-10-28,2017,10,43,28,6,Saturday
79,88882,2017-10-28 06:37,2017-10-28 07:03,7,20171028,2017-10-28,2017,10,43,28,6,Saturday
80,89410,2017-10-28 12:55,2017-10-28 13:02,12,20171028,2017-10-28,2017,10,43,28,6,Saturday
81,89410,2017-10-28 12:55,2017-10-28 13:02,13,20171028,2017-10-28,2017,10,43,28,6,Saturday
82,88882,2017-10-28 07:01,2017-10-28 07:07,7,20171028,2017-10-28,2017,10,43,28,6,Saturday
83,89858,2017-10-28 17:22,2017-10-28 17:25,17,20171028,2017-10-28,2017,10,43,28,6,Saturday
84,90028,2017-10-28 13:55,2017-10-28 13:59,13,20171028,2017-10-28,2017,10,43,28,6,Saturday
85,91063,2017-10-28 08:37,2017-10-28 09:00,8,20171028,2017-10-28,2017,10,43,28,6,Saturday
86,91063,2017-10-28 08:37,2017-10-28 09:00,9,20171028,2017-10-28,2017,10,43,28,6,Saturday
